Thorton Bank Wind Farm Belgium,Belgium,Operating Fully,51.5536,3,30,"Thorton Bank, North Sea, Belgium",Offshore,,90,,Please Select,C-Power NV,,Private,,C-Power NV,,,http://www.c-power.be/English/welcome/index.html
Villers le Bouillet (Wanza) Wind Farm Belgium,Belgium,Operating Fully,50.5838,5.2267,12,"Bois des pas B-4520 Vinalmont, Leige, Belgium",Farmland,8,30,,National Grid,SPE-Luminus,,Private,,SPE-Luminus,,,http://www.spe.be/index.php?page=production&subpage=whereproduce&section=company
Walcourt (Tarcienne) Wind Farm Belgium,Belgium,Operating Fully,50.305,4.5043,9,"Route de Gerpinnes B-5651 Tarcienne, Namur, Belgium",Farmland,6,24,,National Grid,SPE-Luminus,100,Private,,SPE-Luminus,,,http://www.spe.be/index.php?page=production&subpage=how&section=company&subsubpage=wind
Zeebrugge Port Wind Farm Belgium,Belgium,Operating Fully,51.35964,3.2219,12,"East wall Dam, Zeebrugge Port, West Flanders, Belgium","Developed, for other Purpose",14,,,National Grid,Aspiravi,,Private,,Aspiravi,,,http://www.aspiravi.be/en/wind_real.aspx
Kaliakra Wind Farm Bulgaria,Bulgaria,Operating Fully,43.3936,28.4392,35,"4km from the Kaliakra Cape, Bulgarevo, Kvaarna, Dobrich, Bulgaria",Unused Marginal Land,35,87,,National Grid,Mitsubishi,70,,,Kaliakra Wind Power AD,,,http://ji.unfccc.int/UserManagement/FileStorage/LIHXR6V9QCB53ZU7ADFYNKTJ01OE4P
Amaranth (Melancthon EcoPower) Wind Farm Canada,Canada,Operating Fully,44.1415,-80.2929,199.5,"Amaranth and Melancthon Townships, Ontario, Canada",Farmland,133,545,,Regional Grid,TransAlta,70,,,Canadian Hydro (Subsidiary of TransAlta),,,http://www.transalta.com/facilities/plants-operation/melancthon   http://www.transalta.com/facilities/plants-operation
Anse-a-Valleau Wind Farm Canada,Canada,Operating Fully,49.09,-64.65,100.5,"Anse-a-Valleau, Quebec, Canada",Forest,67,300,,Regional Grid,TransCanada Corporation,62,,Cartier Wind Energy,Cartier Wind Energy,,,http://www.cartierenergie.com/en/cartier-energie.aspx?sec=11
Baie-des-Sables Wind Farm Canada,Canada,Operating Fully,48.692,-67.9,109.5,"Baie-des-Sables, Quebec, Canada",Grazing Land,73,,,Regional Grid,TransCanada Corporation,62,,Cartier Wind Energy,Cartier Wind Energy,,,http://www.cartierenergie.com/en/cartier-energie.aspx?sec=10
Carleton Wind Farm Canada,Canada,Operating Fully,48.236,-66.146,109.5,"Carleton, Quebec, Canada",Forest,73,,,Regional Grid,TransCanada Corporation,62,,"Cartier Wind Energy, Borea Construction",Cartier Wind Energy,,,http://www.cartierenergie.com/en/cartier-energie.aspx?sec=16   http://www.cartierenergie.com/en/cartier-energie.aspx?sec=15
Centennial Wind Farm Canada,Canada,Operating Fully,50.1594,-107.4664,150,"25 Km SE of Swift Current, Saskatchewan, Canada",Please Select,83,540,4.2,Please Select,SaskPower International,,Government Provincial,"Vestas-Canadian Wind Technology, Inc",SaskPower International,,,http://www.saskpower.com/about_us/generation_transmission_distribution/wind_facilities.shtml
