Name,Description,URL
Chandermani Arora,"Chandermani Arora is a software craftsman, with love for technology and expertise on web stack. With years of experience, he has architected, d...",https://www.packtpub.com/books/info/authors/chandermani-arora
Vijay Anandh,"Vijay Anandh is an IT consultant and public speaker specializing in Cisco routing and switching, security, and F5 load balancer technologies. H...",https://www.packtpub.com/books/info/authors/vijay-anandh
Michael Vinod,"Michael Vinod is a freelance IT trainer and consultant specializing in Cisco routing, switching, and security technologies. He has expertise in...",https://www.packtpub.com/books/info/authors/michael-vinod
Glen D. Singh,Glen D. Singh is a cybersecurity instructor and consultant for various institutions within the Republic of Trinidad and Tobago. He conducts mul...,https://www.packtpub.com/books/info/authors/glen-d-singh
Issam,"Issam is the founder and director of Development Island based in Bedford, United Kingdom, and is specialised in providing the best technology c...",https://www.packtpub.com/books/info/authors/issam
Nick Walter,Nick Walter is an iOS developer who has been focused on mobile app design and creation for over ive5 years. His involvement in the iOS communit...,https://www.packtpub.com/books/info/authors/nick-walter
Tarik Guney,Tarik Guney has been working as a hands-on software engineer for more than 10 years after he completed his Bachelor's degree in computer e...,https://www.packtpub.com/books/info/authors/tarik-guney
Alexey Soshin,"Alexey Soshin is a software architect with 13 years of experience in making software, mostly for JVM. He started exploring Kotlin even before K...",https://www.packtpub.com/books/info/authors/alexey-soshin
Nick Samoylov ,"Nick Samoylov graduated from the Moscow Institute of Physics and Technology, has worked as a theoretical physicist, and learned to program a to...",https://www.packtpub.com/books/info/authors/nick-samoylov
Erikson Haziz Murrugarra Sifuentes,"Erikson Haziz Murrugarra Sifuentes is a computer engineer, scrum master, and DevOps Master with 8 years of experience in building different k...",https://www.packtpub.com/books/info/authors/erikson-haziz-murrugarra-sifuentes
Diego Jose Argüelles Rojas,"Diego Jose Argüelles Rojas is a software developer born in Peru, passionate about technology, music, comics, and beer. He currently works fo...",https://www.packtpub.com/books/info/authors/diego-jose-argüelles-rojas
Yoon Hyup Hwang,Yoon Hyup Hwang is a seasoned data scientist with several years of experience in marketing and finance industries with expertise in predictive ...,https://www.packtpub.com/books/info/authors/yoon-hyup-hwang
Jan-Hendrik,"Jan-Hendrik is an Automation and DevOps professional by day and a developer for the lab framework AutomatedLab by night.  
  After working at a...",https://www.packtpub.com/
David das Neves,"David das Neves is a former software developer, has been working for Microsoft and works now as a Cloud Consultant at Google. In his daily task...",https://www.packtpub.com/books/info/authors/david-das-neves
Nikola Živković,Nikola Zivkovic is a software developer with over 7 years' experience in the industry. He earned his Master’s degree in Computer Engin...,https://www.packtpub.com/books/info/authors/nikola-Živković
Rahul Sharma,Rahul Sharma is a seasoned Java developer with around 13+ years of experience in Java/J2EE applications. He has worked in companies of various ...,https://www.packtpub.com/books/info/authors/rahul-sharma
