Word,Audio,Category
Celsius,,
cement,https://upload.wikimedia.org/wikipedia/commons/b/b3/En-us-cement.ogg,noun
cemetery,https://upload.wikimedia.org/wikipedia/commons/1/10/En-us-cemetery.ogg,noun
centerpiece,,
central,https://upload.wikimedia.org/wikipedia/commons/4/45/En-us-central.ogg,adjective
century,https://upload.wikimedia.org/wikipedia/commons/9/93/En-us-century.ogg,noun
certain,https://upload.wikimedia.org/wikipedia/commons/f/f4/En-ca-certain.ogg,adjective
certainly,https://upload.wikimedia.org/wikipedia/commons/a/a7/En-us-certainly.ogg,adverb
certify,,
cervical,,
chalk,https://upload.wikimedia.org/wikipedia/commons/b/bf/En-us-chalk.ogg,noun
champ,,
champion,https://upload.wikimedia.org/wikipedia/commons/d/d7/En-uk-champion.ogg,noun
chapel,https://upload.wikimedia.org/wikipedia/commons/0/0f/En-us-chapel.ogg,noun
chaps,,
charmed,https://upload.wikimedia.org/wikipedia/commons/a/ad/En-us-charmed.ogg,adjective
charmless,,
chase,https://upload.wikimedia.org/wikipedia/commons/0/06/En-us-chase.ogg,noun
cheapen,,
cheek,https://upload.wikimedia.org/wikipedia/commons/c/c5/En-us-cheek.ogg,noun
cheese,https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-cheese.ogg,noun
chess,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d8/En-us-chess.ogg/En-us-chess.ogg.mp3,noun
chew,https://upload.wikimedia.org/wikipedia/commons/f/f1/En-us-chew.ogg,verb
child s,,
chilly,https://upload.wikimedia.org/wikipedia/commons/3/36/En-uk-chilly.ogg,adjective
chin,https://upload.wikimedia.org/wikipedia/commons/9/99/En-us-chin.ogg,noun
Chip,,
chipmunk,,
chips,https://upload.wikimedia.org/wikipedia/commons/transcoded/9/91/En-us-chips.ogg/En-us-chips.ogg.mp3,noun
chirp,,
choice,https://upload.wikimedia.org/wikipedia/commons/8/80/En-us-choice.ogg,noun
choke,,
chong,,
