URL,Category
https://upload.wikimedia.org/wikipedia/commons/0/07/En-us-bird.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/25/En-uk-birthday.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/5/5b/En-us-biscuit.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/d/de/En-us-bit.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/f4/En-us-bite.ogg,verb
,
,
,
https://upload.wikimedia.org/wikipedia/commons/6/6d/En-uk-black.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-blade.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/transcoded/2/22/En-us-blades.ogg/En-us-blades.ogg.mp3,noun
,
https://upload.wikimedia.org/wikipedia/commons/3/34/En-us-blame.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/9/90/En-ca-bland.ogg/En-ca-bland.ogg.mp3,verb
,
https://upload.wikimedia.org/wikipedia/commons/6/61/En-us-blarney.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/1/11/En-us-blaze.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/d/db/En-us-bleach.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/5/51/En-us-bleak.ogg,adjective
,
,
,
https://upload.wikimedia.org/wikipedia/commons/c/c7/En-us-blend.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/8/8e/En-us-bless.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/4/44/En-us-blew.ogg,verb
,
,
https://upload.wikimedia.org/wikipedia/commons/4/49/En-us-blind.ogg,adjective
,
,
,
,
https://upload.wikimedia.org/wikipedia/commons/e/ed/En-us-blob.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/0/02/En-us-block.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/b6/En-us-blocks.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/c/c9/En-us-blood.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/b5/En-us-blot.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/8/84/En-us-blow.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/1/1f/En-us-blown.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/9/98/En-us-blows.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/8/85/En-us-blue.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/5/52/En-us-blunt.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/8/83/En-us-blur.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/c/c6/En-us-blurt.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/9/97/En-us-blush.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/7/7f/En-us-boast.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/c/cb/En-us-boat.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/5/5c/En-us-bold.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/4/41/En-us-bolt.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/3/3c/En-us-bomb.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/0/00/En-us-bond.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/2e/En-us-bone.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/ec/En-us-bonfire.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/3/3d/En-us-book.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/4/41/En-us-books.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/b/b3/En-us-boot.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/6/6f/En-us-born.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/d/d4/En-us-boss.ogg,noun
,
,
,
https://upload.wikimedia.org/wikipedia/commons/5/51/En-us-both.ogg,determiner
https://upload.wikimedia.org/wikipedia/commons/f/f0/En-uk-a_bottle.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/f3/En-us-bottom.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/d/dd/En-us-bought.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/7/7e/En-us-boulder.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/6/63/En-us-bowl.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/95/En-us-box.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/2d/En-us-boxes.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/7/7f/En-us-boy.ogg,noun
,
,
,
https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-boys.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d3/En-us-braids.ogg/En-us-braids.ogg.mp3,noun
https://upload.wikimedia.org/wikipedia/commons/f/f6/En-us-brain.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/transcoded/c/c9/En-us-brakes.ogg/En-us-brakes.ogg.mp3,noun
,
https://upload.wikimedia.org/wikipedia/commons/d/db/En-us-branch.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/7/7b/En-us-branches.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/2e/En-us-brand.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/a/aa/En-us-brass.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/5/5e/En-us-brave.ogg,adjective
,
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/8/8f/En-us-bray.ogg/En-us-bray.ogg.mp3,verb
https://upload.wikimedia.org/wikipedia/commons/f/fa/En-us-brays.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/c/cc/En-uk-bread.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e6/En-us-break.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/9/9d/En-us-breath.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/4/49/En-us-breaths.ogg/En-us-breaths.ogg.mp3,noun
,
https://upload.wikimedia.org/wikipedia/commons/1/17/En-us-breeches.ogg,noun
,
,
,
,
https://upload.wikimedia.org/wikipedia/commons/9/9b/En-us-brick.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/4/45/En-us-bricks.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-bride.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/8/8f/En-us-bridge.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/21/En-us-brief.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/3/30/En-us-brig.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/be/En-us-bright.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/f/f0/En-us-brighter.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/7/7c/En-us-brim.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/a/ad/En-us-bring.ogg,verb
,
,
,
,
,
https://upload.wikimedia.org/wikipedia/commons/1/14/En-uk-British.ogg,proper noun
,
https://upload.wikimedia.org/wikipedia/commons/7/7f/En-us-broke.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/c/c2/En-us-broken.ogg,verb
,
,
https://upload.wikimedia.org/wikipedia/commons/d/d9/En-uk-brother.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/9d/En-us-brought.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/e/e6/En-us-brow.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/29/En-us-brown.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/3/3f/En-us-brush.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/transcoded/0/0e/En-us-brute.ogg/En-us-brute.ogg.mp3,adjective
,
,
https://upload.wikimedia.org/wikipedia/commons/9/94/En-us-buckle.ogg,verb
,
,
,
https://upload.wikimedia.org/wikipedia/commons/b/b6/En-us-bug.ogg,noun
,
,
https://upload.wikimedia.org/wikipedia/commons/6/60/En-us-build.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/a/a3/En-us-building.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/1/1e/En-us-built.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/a/a0/En-us-bulb.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/7/74/En-us-bulk.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-bulky.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/1/1c/En-us-bull.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/a/a3/En-ca-bum.ogg,noun
,
,
,
https://upload.wikimedia.org/wikipedia/commons/d/d5/En-us-bunch.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/c/c1/En-us-bundle.ogg,noun
,
,
,
,
,
https://upload.wikimedia.org/wikipedia/commons/b/b9/En-us-burn.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/e/e1/En-us-burst.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/a/ad/En-uk-a_bus.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/20/En-us-bush.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/d/dc/En-us-bust.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/b/b4/En-us-busy.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/7/7d/En-us-but.ogg,preposition
,
https://upload.wikimedia.org/wikipedia/commons/4/43/En-us-butt.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/c/cf/En-us-buy.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/c/c8/En-us-by.ogg,preposition
https://upload.wikimedia.org/wikipedia/commons/2/24/En-us-byte.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/a/af/En-us-cab.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/0/0b/En-us-cabin.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/8/81/En-us-cable.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/1/18/En-us-caffeine.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/6/61/En-us-cage.ogg,noun
