Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Northern Coal Power Plant Australia,Australia,Operating Fully,-32.5429,137.788,544,Sub-critical Thermal,Base Load,"Port Augusta, South Australia, Australia",Regional Grid,Seawater,1967-00-00,Delta Electricity,,Government of New South Wales,,Delta Electricity,,,http://www.de.com.au/New-Developments/Munmorah-Rehabilitation/default.aspx
Stanwell Coal Power Plant Australia,Australia,Operating Fully,-23.5099,150.3189,1460,Sub-critical Thermal,Base Load,"22km west of Rockhampton, Queensland, Australia",Regional Grid,Fitzroy River,1993-00-00,Stanwell Corporation,100,Government,,Stanwell Corporation,,,http://www.stanwell.com/stanwell-power-station.aspx  and  http://www.stanwell.com/annual-reports.aspx
Swanbank B Coal Power Plant Australia,Australia,Decommissioned,-27.66049,152.8142,480,Sub-critical Thermal,Intermediate/Peak Load,"Ipswich, Swanbank, Queensland, Australia",Please Select,Lake Moogerah and the Western Corridor Recycled Water Project,1973-00-00,,,,,CS Energy,,,http://www.power-technology.com/projects/swanbank_gas_station/
Tarong Coal Power Plant Australia,Australia,Operating Fully,-26.7826,151.9151,1400,Sub-critical Thermal,Base Load,"Queensland, Australia",Regional Grid,,1984-05-00,Stanwell Corporation (acquired from Tarong Corporation in July 2011),100,Government,"Queensland Electricity Board, Clyde Riley Dodds, Theiss Australia",Stanwell Corporation,,,http://www.stanwell.com/tarong-power-station.aspx  and  http://www.stanwell.com/annual-reports.aspx
Tarong North Coal Power Plant Australia,Australia,Operating Fully,-26.7762,151.9145,443,Super-critical Thermal,Base Load,"Queensland, Australia",Regional Grid,,2003-00-00,Stanwell Corporation (merged with Tarong Corporation in July 2011),100,Government,"Pacific Power International, Mowlem, Laing O\'Rourke, Mitsui",Stanwell Corporation,,,http://www.stanwell.com/tarong-power-station.aspx  and  http://www.stanwell.com/annual-reports.aspx
Thomas Playford B Coal Power Plant Australia,Australia,Operating Fully,-32.5392,137.7824,240,Sub-critical Thermal,Intermediate Load,"Port Augusta, South Australia, Australia",Regional Grid,Seawater,1963-00-00,Alinta Energy,,,,Flinders Power,,,http://alintaenergy.com.au/assets/generation/flinders/
Vales Point B Coal Power Plant Australia,Australia,Operating Fully,-33.16,151.5446,1320,Sub-critical Thermal,Base Load,"Southern end of Lake Macquarie, New South Wales, Australia",Regional Grid,Salt water from Lake Macquarie,1976-00-00,Delta Electricity,100,Government,,Delta Electricity,,,http://www.de.com.au/About-Us/Power-Stations/Vales-Point/default.aspx and http://www.de.com.au/About-Us/Annual-Reports/default.aspx
Wallerawang-C Coal Power Plant Australia,Australia,Operating Fully,-33.4026,150.083,1000,Sub-critical Thermal,Base Load,"Wallerawang, New South Wales, Australia",Regional Grid,"Lake Wallace  and Lake Lyell, fresh water lakes on the Coxs River",1976-00-00,Energy Australia (acquired Mt Piper and Wallerawang power stations from NSW government in September 2013),100,Government,,Energy Australia (acquired Mt Piper and Wallerawang power stations from NSW government in September 2013),,,http://www.de.com.au/About-Us/Generation/Wallerawang/default.aspx and http://www.de.com.au/About-Us/Annual-Reports/default.aspx
Worsley Coal Cogen Power Plant Australia,Australia,Operating Fully,-33.2357,116.0687,130,Sub-critical Thermal,Please Select,"Worsley alumina refinery, SW Western Australia",Regional Grid,,1982-00-00,Worsley Alumina,,CPP,,,,,http://www.ga.gov.au/fossil_fuel/gmaps/operating.html
Worsley Multi-Fuel Cogen Power Plant Australia,Australia,Operating Fully,-33.2366,116.0638,114,Sub-critical Thermal,Base Load,"Worsley alumina refinery, Collie, SW Western Australia",Regional Grid,,2012-00-00,Griffin Energy,,,,Griffin Energy,,,http://www.thiess.com.au/capabilities/projects/worsley-multi-fuel-cogeneration-mfc-project
Yallourn West Coal Power Plant Australia,Australia,Operating Fully,-38.1772,146.3425,1480,Sub-critical Thermal,Base Load,"Yallourn, Latrobe Valley, Victoria, Australia",Regional Grid,Latrobe River,1974-08-00,CLP Hong Kong,100,Private,,EnergyAustralia (name change from TRUenergy),,,http://www.truenergy.com.au/about/what-we-do/generation/yallourn.xhtml
Duernrohr CHP Power Plant Austria,Austria,Operating Fully,48.3264,15.9246,757,Sub-critical Thermal,Please Select,"Duernrohr, Lower Austria, Austria",National Grid,Danube River,1985-12-00,VERBUND Thermal Power GmbH,,,,VERBUND Thermal Power GmbH,,,http://www.verbund.com/pp/de/waermekraftwerk/duernrohr
Lenzing Thermal Power Plant Austria,Austria,Operating Fully,47.9767,13.6201,70,Sub-critical Thermal,Please Select,"Lenzing, Upper Austria, Austria",National Grid,,1955-00-00,Lenzing Corporation,,,,Lenzing Corporation,,,
Mellach CHP Power Plant Austria,Austria,Operating Fully,46.9115,15.4884,246,Cogeneration Power and Heat Steam Turbine,Base/Intermediate Load,"Mellach south of Graz in Styria, Austria",National Grid,Mur River,1986-12-00,VERBUND Thermal Power GmbH,,,,VERBUND Thermal Power GmbH,,,http://www.verbund.com/pp/de/waermekraftwerk/mellach-fernheizkraftwerk
Barapukuria Coal Power Plant Bangladesh,Bangladesh,Operating Fully,25.554,88.95,250,Sub-critical Thermal,Base Load,"Dudhipur, Dinajpur, Bangladesh",National Grid,,2006-01-03,Bangladesh Power Development Board (BPDB),100,Government,"East China Electric Power Design Institute, Shenzhen Energy Engineering Corp, Shanghai Electric Group, CMEC",Bangladesh Power Development Board (BPDB,,,http://www.bpdb.gov.bd/download/power_plants.pdf
Langerlo Thermal Power Plant Belgium,Belgium,Please Select,50.9405,5.4906,556,Sub-critical Thermal,Base Load,"Genk, Limburg, Belgium",National Grid,Albertkaanal,,E. ON (acquired from Electrabel in 2009-07-31),,Private,,E.ON Energy Trading SE,,,http://www.eon-kraftwerke.com/pages/ekw_en/Media/Press_Releases/Latest_Press_Releases/Pressemitteilung.htm?id=1405495
Mol Coal Power Plant Belgium (Shutdown),Belgium,Decommissioned,51.2234,5.099,255,Sub-critical Thermal,Please Select,"4km North of Mol, Antwerp, Belgium",Please Select,,1963-00-00,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.electrabel.be/whoarewe/activities/generationfacilities.aspx
