Grafenrheinfeld Nuclear Power Plant Germany,Germany,Operating Fully,49.9844,10.1828,1345,Pressurized Water Reactor (PWR),"Bayern, Germany",National Grid,E.ON Kernkraft GmbH,,,KWU (SIEMENS KRAFTWERK UNION AG),E.ON Kernkraft GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Grohnde Nuclear Power Plant Germany,Germany,Operating Fully,52.0348,9.411,1430,Pressurized Water Reactor (PWR),"Niedersachsen, Germany",National Grid,E.ON Kernkraft GmbH,83.3,Private,KWU (SIEMENS KRAFTWERK UNION AG),Gemeinschaftskernkraftwerk Grohnde GmbH & Co. oHG,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Gundremmingen Nuclear Power Plant Germany,Germany,Operating Fully,48.51488,10.4012,2688,Boiling Water Reactor (BWR),"Bayern, Germany",National Grid,RWE Power AG,75,Private,KWU (SIEMENS KRAFTWERK UNION AG),Kernkraftwerk Gundremmingen GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Isar Nuclear Power Plant Germany,Germany,Please Select,48.604915336608,12.293591371098,2387,Please Select,"Bayern, Germany",Please Select,E.ON Kernkraft GmbH,,,KWU (SIEMENS KRAFTWERK UNION AG),E.ON Kernkraft GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Kruemmel Nuclear Power Plant Germany,Germany,Please Select,53.410286514073,10.410154529114,1316,Please Select,"Schleswig-Holstein, Germany",Please Select,(50%) Vattenfall Europe Nuclear Energy GmbH; and (50%) E.ON Kernkraft GmbH,,,KWU (SIEMENS KRAFTWERK UNION AG),Kernkraftwerk Kruemmel GmbH & Co. oHG,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Neckarwestheim Nuclear Power Plant Germany,Germany,Please Select,49.040781763948,9.1758743058361,2235,Please Select,Baden-Wuerttemberg,Please Select,(98.45%) EnBW; and (1.55%) four other owners,,,"SIEM,KWU (SIEMENS AG, KRAFTWERK UNION AG)",EnBW Kernkraft GmbH (Sitz in Obrigheim),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Philippsburg Nuclear Power Plant Germany,Germany,Please Select,49.252901119099,8.4364338393089,2384,Please Select,"Baden-Wuerttemberg, Germany",Please Select,EnBW Kraftwerke AG,,,KWU (SIEMENS KRAFTWERK UNION AG),EnBW Kernkraft GmbH (Sitz in Obrigheim),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Unterweser Nuclear Power Plant Germany,Germany,Decommissioned,53.4292,8.4775,1410,Pressurized Water Reactor (PWR),"Niedersachsen, Germany",National Grid,E.ON Kernkraft GmbH,100,,KWU (SIEMENS KRAFTWERK UNION AG),E.ON Kernkraft GmbH,,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Paks Nuclear Power Plant Hungary,Hungary,Please Select,46.574161080931,18.852791245897,1866,Please Select,"Tolna Megye, Hungary",Please Select,Hungarian Power Companies Ltd,,Government,Atomenergoexport (AEE),Paksi Atomeromu Rt (http://atomeromu.hu/),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Kaiga Atomic Power Station India,India,Operating Fully,14.865,74.4385,880,Pressurized Heavy Water Reactor (PHWR),"Kaiga, Karnataka, India",Regional Grid,NUCLEAR POWER CORPORATION OF INDIA LTD,,,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
Kakrapar Atomic Power Station India,India,Operating Fully,21.23649,73.35,440,Pressurized Heavy Water Reactor (PHWR),"Moti Cher, East of Surat, Gujarat, India",Regional Grid,NUCLEAR POWER CORPORATION OF INDIA LTD,,,NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),NUCLEAR POWER CORPORATION OF INDIA LTD (NPCIL),,,http://www.iaea.org/programmes/a2/      (IAEA PRIS database)
